Orignal Compute,Original Total,XGBOOST Compute,XGBOOST Total,XGBoost Normalize,XGBoost Normalize Total
1.188642025,7.95955205,1.425698519,5.884030342,40.90330887,44.72353244
1.188827515,8.016060114,1.429513216,5.946743965,40.86535454,44.6417253
1.188115358,7.973819256,1.416535854,5.88391614,40.88348079,44.63680482
1.193470716,7.805276394,1.421466351,5.911773205,40.89557242,44.68216896
1.198021889,7.946673632,1.445581198,5.901909828,40.86377859,44.641258
1.199241161,7.957868814,1.425784826,5.935297966,40.90150905,44.66556907
1.188154459,8.026729107,1.418788671,5.919442415,40.99477005,44.86045814
1.18876338,7.942575455,1.42675209,5.919603109,40.89293742,44.71641588
1.185891867,7.930942535,1.428833008,5.938009501,40.84345555,44.68997264
1.187326431,8.067028522,1.429703712,5.943228245,40.94460773,44.81355262
1.186397314,7.94961524,1.436183929,5.954269648,40.91118431,44.73684072
1.193714619,8.011979103,1.450368643,5.942676783,40.91129613,44.79263258
1.185820341,7.924304724,1.430363417,5.9054842,40.94761252,44.79359603
1.185411692,8.026294947,1.430870056,5.941949606,40.94932508,44.66672277
1.187408924,7.951494694,1.428169727,5.918642759,40.88649154,44.66251564
1.185322523,7.933457851,1.425292969,5.895290852,40.92647719,44.73680234
1.195871592,7.923248291,1.508198977,6.416102886,40.87255526,44.58985901
1.188470125,7.818185806,1.509556532,6.601676464,40.93035746,44.69739294
1.18629241,8.11853528,1.427637339,5.892231464,40.89059806,44.58598781
1.190649748,7.862972975,1.426144123,5.898827076,41.04789901,44.83169103
1.18776679,8.014762163,1.421560049,5.921764374,40.94202232,44.75089908
1.188860655,7.938691378,1.413889647,5.896165609,40.85573483,44.66195369
1.188007116,8.02454257,1.412334442,5.841097593,40.91569662,44.67009521
1.188714504,8.031723022,1.413334846,5.855773449,40.91607141,44.67316318
1.190766335,7.9687078,1.413589001,5.873470783,40.91329527,44.7161355
1.185256958,8.017171383,1.41624999,5.852279663,40.88109326,44.6862576
1.184978485,7.985198259,1.421082497,5.902913332,41.01249123,44.8201797
1.19217968,8.270994425,1.415846586,5.876266479,40.94514799,44.91509557
1.190832615,8.138943434,1.422219515,5.860785961,41.00844455,45.37220311
1.192466736,7.873889923,1.425149679,5.868695974,40.9006722,44.64316297
1.189502239,7.942565918,1.412514687,5.863607168,40.91898704,44.709584
1.189401865,8.050560951,1.432329416,5.867585182,40.94329309,44.70442533
1.192279339,8.029325247,1.416386366,5.837827444,40.88557839,44.62055588
1.277698278,8.746152401,1.414901733,5.851227283,41.00800848,44.75033069
1.212098837,8.179656982,1.418135643,5.901197195,40.83076954,44.57244015
1.191007853,8.04237175,1.420648336,5.874425888,40.9023068,44.64946175
1.189138889,7.97698307,1.435146093,5.924919367,40.91112256,44.61127853
1.186076403,7.843461752,1.42474103,5.897600174,40.92149472,44.66261768
1.191108704,7.92697525,1.425141335,5.911103249,40.91915369,44.67171049
1.192575693,7.883427382,1.426390409,5.965203762,41.00696802,44.93411708
1.187102556,8.046707869,1.427469015,5.90363121,40.83882833,44.91767406
1.193788052,7.894823313,1.422330141,5.903800726,40.81977367,44.62945342
1.186457396,8.010107756,1.434576988,5.949722052,40.85380936,44.69851136
1.190304756,7.861258984,1.420651197,5.87780714,40.83233571,44.62350869
1.195987463,7.906986237,1.423639297,5.939559698,40.83195829,44.67280436
1.195543766,7.987206221,1.417729378,5.901842117,40.89834046,44.65122437
1.192738056,8.010607243,1.423798561,5.901239395,40.90234351,44.73249507
1.182835102,7.888845921,1.421986341,5.92209816,40.96532273,45.07654405
1.187160492,7.993664026,1.43035984,5.899267912,41.05201888,45.79125834
1.187532902,8.005975485,1.437072754,5.938724756,40.88347888,44.66700292
1.187472105,7.908402443,1.424624205,5.903758049,40.95330644,45.31049252
1.187112331,8.048513889,1.428189516,5.92208457,40.84757996,44.67993379
1.188430548,7.966839314,1.441721439,5.931960344,40.88591552,44.70990372
1.188167334,7.972341537,1.436115026,5.971296787,40.97193336,44.77931356
1.186680079,8.023577452,1.457806826,5.994375944,40.80878544,44.62305903
1.985119104,10.80707192,1.444005966,5.997945786,40.86206317,44.62252903
1.389553547,8.541312456,1.434804201,5.951996326,40.88661742,44.73297191
1.188633442,8.017281294,1.434773445,5.972157001,40.88999152,44.65961552
1.187151909,7.924234867,1.425375223,5.927277327,40.88182592,44.69683814
1.187818527,7.911082506,1.424026966,5.922667027,40.92736936,44.78441906
1.191235542,8.126690865,1.417315245,5.90135622,40.85765767,44.64542079
1.18756485,7.88680625,1.434409857,5.961531162,40.84047651,44.62680936
1.186573982,7.976627827,1.431146622,5.959889412,40.81564426,44.65387249
1.182671547,7.865588188,1.435622931,5.988995314,40.79276204,44.59575796
